Orthogroup	Pocillopora_acuta_protein	Mcap.protein
OG0003603	g64313	augustus.g61322.t1, augustus.g37820.t1
OG0003604	g836	augustus.g37833.t1, augustus.g65331.t1
OG0003605	g36296	augustus.g37837.t1, augustus.g65327.t1
OG0003606	g61863	augustus.g37946.t1, augustus.g68148.t1
OG0003607	g61872	augustus.g37954.t1, augustus.g7902.t1
OG0003608	g61874	augustus.g37955.t1, augustus.g7901.t1
OG0003609	g61884	augustus.g7898.t1, augustus.g37958.t1
OG0003610	g883	augustus.g37963.t1, augustus.g7895.t1
OG0003611	g888	augustus.g37967.t1, augustus.g7892.t1
OG0003612	g895	augustus.g37970.t1, augustus.g7889.t1
OG0003613	g897	augustus.g37971.t1, augustus.g7888.t1
OG0003614	g901	augustus.g7882.t1, augustus.g37976.t1
OG0003615	g11042	augustus.g3802.t1, augustus.g3800.t1
OG0003616	g9131	augustus.g67660.t1, augustus.g38026.t1
OG0003617	g32131	augustus.g67655.t1, augustus.g38033.t1
OG0003618	g32132	augustus.g67654.t1, augustus.g38034.t1
OG0003619	g32135	augustus.g38035.t1, augustus.g67653.t1
OG0003620	g32193	augustus.g67651.t1, augustus.g38037.t1
OG0003621	g35923	augustus.g38080.t1, augustus.g65968.t1
OG0003622	g36827	augustus.g38093.t1, augustus.g43339.t1
OG0003623	g30862	augustus.g38230.t1, augustus.g38237.t1
OG0003624	g42717, g35239	augustus.g38273.t1
OG0003625	g37921, g35027	augustus.g38322.t1
OG0003626	g46792, g57870	augustus.g3859.t1
OG0003627	g21235	augustus.g38592.t1, augustus.g40406.t1
OG0003628	g21232	augustus.g40405.t1, augustus.g38593.t1
OG0003629	g42080	augustus.g38605.t1, augustus.g40397.t1
OG0003630	g23184	augustus.g38718.t1, augustus.g69073.t1
OG0003631	g39724, g39723	augustus.g38769.t1
OG0003632	g36545	augustus.g38802.t1, augustus.g57930.t1
OG0003633	g449	augustus.g9140.t1, augustus.g3884.t1
OG0003634	g554	augustus.g9138.t1, augustus.g3886.t1
OG0003635	g13028	augustus.g38879.t1, augustus.g6190.t1
OG0003636	g45482	augustus.g40489.t1, augustus.g38901.t1
OG0003637	g51114, g63989	augustus.g38916.t1
OG0003638	g25800	augustus.g3893.t1, augustus.g9128.t1
OG0003639	g25803	augustus.g9127.t1, augustus.g3894.t1
OG0003640	g56205	augustus.g69845.t1, augustus.g38952.t1
OG0003641	g32756	augustus.g38993.t1, augustus.g38995.t1
OG0003642	g57354, g6821	augustus.g39122.t1
OG0003643	g16634	augustus.g39413.t1, augustus.g39414.t1
OG0003644	g16614, g16611	augustus.g39418.t1
OG0003645	g43623	augustus.g3945.t1, augustus.g70275.t1
OG0003646	g13633, g20057	augustus.g39578.t1
OG0003647	g31296, g44612	augustus.g39587.t1
OG0003648	g58907, g22817	augustus.g39595.t1
OG0003649	g9512, g9511	augustus.g39693.t1
OG0003650	g32973	augustus.g39753.t1, augustus.g5273.t1
OG0003651	g3629, g62245	augustus.g39839.t1
OG0003652	g35815, g35816	augustus.g39908.t1
OG0003653	g63032, g34633	augustus.g39966.t1
OG0003654	g4974	augustus.g70698.t1, augustus.g40418.t1
OG0003655	g4975	augustus.g40419.t1, augustus.g70699.t1
OG0003656	g4979	augustus.g70702.t1, augustus.g40422.t1
OG0003657	g4981	augustus.g70705.t1, augustus.g40424.t1
OG0003658	g4980	augustus.g40426.t1, augustus.g70703.t1
OG0003659	g4999	augustus.g40436.t1, augustus.g40434.t1
OG0003660	g17098, g6167	augustus.g40491.t1
OG0003661	g46056	augustus.g40781.t1, augustus.g71609.t1
OG0003662	g46053	augustus.g40782.t1, augustus.g71608.t1
OG0003663	g33980	augustus.g5169.t1, augustus.g4083.t1
OG0003664	g33976	augustus.g5170.t1, augustus.g4085.t1
OG0003665	g33968	augustus.g4088.t1, augustus.g5173.t1
OG0003666	g14129	augustus.g41147.t1, augustus.g40883.t1
OG0003667	g33960	augustus.g4090.t1, augustus.g5175.t1
OG0003668	g52902, g851	augustus.g40912.t1
OG0003669	g33957, g33955	augustus.g4092.t1
OG0003671	g36567, g36570	augustus.g40967.t1
OG0003672	g42559	augustus.g55342.t1, augustus.g41065.t1
OG0003673	g42560	augustus.g55341.t1, augustus.g41066.t1
OG0003674	g14650	augustus.g4108.t1, augustus.g58267.t1
OG0003675	g39103, g39100	augustus.g41080.t1
OG0003676	g22480	augustus.g4709.t1, augustus.g41114.t1
OG0003677	g22424	augustus.g4112.t1, augustus.g58269.t1
OG0003678	g22491	augustus.g41124.t1, augustus.g51670.t1
OG0003679	g22495	augustus.g41127.t1, augustus.g51674.t1
OG0003680	g22824, g18646	augustus.g41184.t1
OG0003681	g21293, g21294	augustus.g41221.t1
OG0003682	g6169, g32636	augustus.g41230.t1
OG0003683	g32981, g32978	augustus.g41246.t1
OG0003684	g25097	augustus.g41280.t1, augustus.g66553.t1
OG0003685	g40339	augustus.g58237.t1, augustus.g41305.t1
OG0003686	g40334	augustus.g41307.t1, augustus.g58238.t1
OG0003687	g55888	augustus.g41317.t1, augustus.g58241.t1
OG0003688	g55890	augustus.g41319.t1, augustus.g58243.t1
OG0003689	g27614, g27617	augustus.g41335.t1
OG0003690	g27624, g27618	augustus.g41339.t1
OG0003691	g54621, g41649	augustus.g41472.t1
OG0003692	g26970	augustus.g8373.t1, augustus.g41682.t1
OG0003693	g26969	augustus.g41683.t1, augustus.g8374.t1
OG0003694	g34364	augustus.g41685.t1, augustus.g8376.t1
OG0003695	g3195	augustus.g52339.t1, augustus.g41855.t1
OG0003696	g3193	augustus.g41856.t1, augustus.g52340.t1
OG0003697	g3218, g3220	augustus.g41894.t1
OG0003698	g38897, g7057	augustus.g41969.t1
OG0003699	g5200	augustus.g47604.t1, augustus.g41974.t1
OG0003701	g5206	augustus.g47600.t1, augustus.g41979.t1
OG0003702	g5202	augustus.g41981.t1, augustus.g47598.t1
OG0003703	g15945	augustus.g41986.t1, augustus.g41985.t1
OG0003704	g19937, g19938	augustus.g41991.t1
OG0003705	g51405	augustus.g4201.t1, augustus.g64212.t1
OG0003706	g51407	augustus.g64211.t1, augustus.g4202.t1
OG0003707	g24161	augustus.g4864.t1, augustus.g42033.t1
OG0003708	g24160	augustus.g4865.t1, augustus.g42034.t1
OG0003709	g57735	augustus.g42048.t1, augustus.g49587.t1
OG0003710	g61993, g50781	augustus.g42179.t1
OG0003711	g1894	augustus.g42213.t1, augustus.g42212.t1
OG0003712	g51521, g60469	augustus.g42233.t1
OG0003713	g45682	augustus.g66815.t1, augustus.g4225.t1
OG0003714	g25410	augustus.g6502.t1, augustus.g42306.t1
OG0003715	g25423	augustus.g42310.t1, augustus.g6499.t1
OG0003716	g36857, g36849	augustus.g42317.t1
OG0003717	g49247, g4896	augustus.g42351.t1
OG0003718	g50995	augustus.g42354.t1, augustus.g57751.t1
OG0003719	g48857	augustus.g8472.t1, augustus.g4236.t1
OG0003720	g951	augustus.g42391.t1, augustus.g60242.t1
OG0003721	g29332, g29329	augustus.g4242.t1
OG0003722	g25111	augustus.g45822.t1, augustus.g42440.t1
OG0003723	g5880	augustus.g42468.t1, augustus.g56393.t1
OG0003724	g32965	augustus.g42514.t1, augustus.g51607.t1
OG0003725	g32966	augustus.g51608.t1, augustus.g42515.t1
OG0003726	g2110, g2115	augustus.g4252.t1
OG0003727	g13565, g33742	augustus.g42633.t1
OG0003728	g13751, g24119	augustus.g42831.t1
OG0003729	g55443, g59300	augustus.g42982.t1
OG0003730	g34199	augustus.g43024.t1, augustus.g52445.t1
OG0003731	g16889, g16892	augustus.g43136.t1
OG0003732	g61662	augustus.g43230.t1, augustus.g8628.t1
OG0003733	g57763, g63195	augustus.g43240.t1
OG0003734	g19653, g7969	augustus.g43311.t1
OG0003735	g27436, g27432	augustus.g4333.t1
OG0003736	g5692	augustus.g43348.t1, augustus.g6121.t1
OG0003737	g53173	augustus.g43355.t1, augustus.g61829.t1
OG0003738	g53172	augustus.g43356.t1, augustus.g61830.t1
OG0003739	g49303, g49305	augustus.g43402.t1
OG0003740	g49298, g49302	augustus.g43403.t1
OG0003741	g1348, g17821	augustus.g43420.t1
OG0003742	g39767, g18053	augustus.g4343.t1
OG0003743	g29876, g29871	augustus.g43433.t1
OG0003744	g29883, g29884	augustus.g43438.t1
OG0003745	g23719	augustus.g43595.t1, augustus.g5391.t1
OG0003746	g60640	augustus.g43602.t1, augustus.g5397.t1
OG0003747	g58455, g62269	augustus.g43650.t1
OG0003748	g35076, g38322	augustus.g43658.t1
OG0003749	g31710	augustus.g4377.t1, augustus.g61166.t1
OG0003750	g61103	augustus.g65063.t1, augustus.g43779.t1
OG0003751	g28129	augustus.g65061.t1, augustus.g43781.t1
OG0003752	g41250	augustus.g43786.t1, augustus.g65057.t1
OG0003753	g37606	augustus.g43791.t1, augustus.g43798.t1
OG0003754	g936	augustus.g61160.t1, augustus.g4380.t1
OG0003755	g3039	augustus.g4382.t1, augustus.g61158.t1
OG0003756	g64421	augustus.g43834.t1, augustus.g43840.t1
OG0003757	g55182, g64422	augustus.g43839.t1
OG0003758	g64407	augustus.g67077.t1, augustus.g43847.t1
OG0003759	g57001	augustus.g43852.t1, augustus.g65768.t1
OG0003760	g4222, g4220	augustus.g4391.t1
OG0003761	g22297	augustus.g44020.t1, augustus.g44019.t1
OG0003762	g42214	augustus.g4403.t1, augustus.g52785.t1
OG0003763	g7654	augustus.g57839.t1, augustus.g44100.t1
OG0003764	g7653	augustus.g57838.t1, augustus.g44101.t1
OG0003765	g11964	augustus.g57837.t1, augustus.g44102.t1
OG0003766	g42566, g50052	augustus.g44133.t1
OG0003767	g26177	augustus.g4414.t1, augustus.g6450.t1
OG0003768	g26176	augustus.g4415.t1, augustus.g6451.t1
OG0003769	g3708, g3709	augustus.g44176.t1
OG0003770	g41045, g40181	augustus.g44178.t1
OG0003771	g18440	augustus.g44224.t1, augustus.g49051.t1
OG0003772	g18745, g48986	augustus.g44309.t1
OG0003773	g15148	augustus.g4437.t1, augustus.g53388.t1
OG0003774	g19286, g19285	augustus.g44404.t1
OG0003775	g19290	augustus.g6691.t1, augustus.g44407.t1
OG0003776	g19291	augustus.g44409.t1, augustus.g6688.t1
OG0003777	g57153	augustus.g6685.t1, augustus.g44412.t1
OG0003778	g56598	augustus.g44414.t1, augustus.g6683.t1
OG0003779	g28408, g54320	augustus.g4447.t1
OG0003780	g20721	augustus.g7417.t1, augustus.g44479.t1
OG0003781	g45306, g45308	augustus.g44598.t1
OG0003782	g45429, g41954	augustus.g44609.t1
OG0003783	g31951, g48747	augustus.g44616.t1
OG0003784	g36385, g36382	augustus.g44638.t1
OG0003785	g23206	augustus.g7505.t1, augustus.g44705.t1
OG0003786	g11857	augustus.g7504.t1, augustus.g44707.t1
OG0003787	g11851, g11842	augustus.g44731.t1
OG0003788	g11838	augustus.g44737.t1, augustus.g4571.t1
OG0003789	g23033	augustus.g57824.t1, augustus.g44777.t1
OG0003790	g23038	augustus.g57822.t1, augustus.g44779.t1
OG0003791	g23044	augustus.g44787.t1, augustus.g44790.t1
OG0003792	g55744, g55739	augustus.g44847.t1
OG0003793	g5397, g5410	augustus.g45068.t1
OG0003794	g5426	augustus.g45077.t1, augustus.g46616.t1
OG0003795	g5427	augustus.g45078.t1, augustus.g46617.t1
OG0003796	g36749, g17751	augustus.g45125.t1
OG0003797	g18117	augustus.g57806.t1, augustus.g45133.t1
OG0003798	g21043	augustus.g45154.t1, augustus.g45159.t1
OG0003799	g63901	augustus.g60396.t1, augustus.g4525.t1
OG0003800	g28523	augustus.g66035.t1, augustus.g45381.t1
OG0003801	g10464, g10465	augustus.g45452.t1
OG0003802	g10492	augustus.g45460.t1, augustus.g67436.t1
OG0003803	g3184, g30017	augustus.g45490.t1
OG0003804	g231	augustus.g4550.t1, augustus.g71553.t1
OG0003805	g17641	augustus.g47768.t1, augustus.g45703.t1
OG0003806	g10232	augustus.g59013.t1, augustus.g45828.t1
OG0003807	g19779, g19777	augustus.g45842.t1
OG0003808	g16577, g16575	augustus.g45857.t1
OG0003809	g28281	augustus.g67882.t1, augustus.g45969.t1
OG0003810	g28375	augustus.g67902.t1, augustus.g45987.t1
OG0003811	g29507	augustus.g46083.t1, augustus.g69403.t1
OG0003812	g62066	augustus.g46089.t1, augustus.g53459.t1
OG0003813	g35984	augustus.g66416.t1, augustus.g46116.t1
OG0003814	g16445, g16446	augustus.g46202.t1
OG0003815	g32595	augustus.g50521.t1, augustus.g46238.t1
OG0003816	g36357, g28991	augustus.g46374.t1
OG0003817	g36254	augustus.g7393.t1, augustus.g46415.t1
OG0003818	g36250	augustus.g46417.t1, augustus.g7395.t1
OG0003819	g36240	augustus.g6314.t1, augustus.g46427.t1
OG0003820	g56074, g36269	augustus.g46436.t1
OG0003821	g59712, g57980	augustus.g46458.t1
OG0003822	g12040, g52740	augustus.g46482.t1
OG0003823	g45553, g24094	augustus.g46496.t1
OG0003824	g8251	augustus.g6346.t1, augustus.g46711.t1
OG0003825	g3033	augustus.g46831.t1, augustus.g61156.t1
OG0003826	g3032	augustus.g61155.t1, augustus.g46832.t1
OG0003827	g3027	augustus.g61152.t1, augustus.g46834.t1
OG0003828	g49050	augustus.g5868.t1, augustus.g46887.t1
OG0003829	g22146, g22148	augustus.g46897.t1
OG0003830	g39239	augustus.g717.t1, augustus.g4693.t1
OG0003831	g21945	augustus.g46931.t1, augustus.g7160.t1
OG0003832	g25186	augustus.g47040.t1, augustus.g60261.t1
OG0003833	g22187	augustus.g47060.t1, augustus.g68004.t1
OG0003834	g19586	augustus.g8415.t1, augustus.g47106.t1
OG0003835	g24460, g24424	augustus.g4722.t1
OG0003836	g12604, g46915	augustus.g47257.t1
OG0003837	g24379	augustus.g47386.t1, augustus.g70320.t1
OG0003838	g24378	augustus.g47387.t1, augustus.g70321.t1
OG0003839	g24421, g24422	augustus.g47392.t1
OG0003840	g47575	augustus.g47439.t1, augustus.g56482.t1
OG0003841	g47589	augustus.g56478.t1, augustus.g47443.t1
OG0003842	g19745	augustus.g47448.t1, augustus.g56471.t1
OG0003843	g19741	augustus.g56468.t1, augustus.g47451.t1
OG0003844	g5846	augustus.g56463.t1, augustus.g47454.t1
OG0003845	g13163	augustus.g63809.t1, augustus.g47504.t1
OG0003846	g25292	augustus.g47556.t1, augustus.g61087.t1
OG0003847	g25293	augustus.g61085.t1, augustus.g47558.t1
OG0003848	g25296	augustus.g61083.t1, augustus.g47560.t1
OG0003849	g62035	augustus.g71011.t1, augustus.g4763.t1
OG0003850	g62632, g62631	augustus.g47695.t1
OG0003851	g30178, g30179	augustus.g4772.t1
OG0003852	g63624, g63625	augustus.g47742.t1
OG0003853	g63631	augustus.g47745.t1, augustus.g47747.t1
OG0003854	g61663	augustus.g47985.t1, augustus.g67940.t1
OG0003855	g2189, g306	augustus.g47994.t1
OG0003856	g579, g577	augustus.g48034.t1
OG0003857	g598	augustus.g48056.t1, augustus.g48045.t1
OG0003858	g19339	augustus.g4805.t1, augustus.g68233.t1
OG0003859	g40353, g32434	augustus.g48066.t1
OG0003860	g8793	augustus.g48141.t1, augustus.g60736.t1
OG0003861	g59503, g60969	augustus.g48165.t1
OG0003862	g5031	augustus.g48221.t1, augustus.g48227.t1
OG0003863	g1530	augustus.g6970.t1, augustus.g48352.t1
OG0003864	g1536	augustus.g6966.t1, augustus.g48358.t1
OG0003865	g1543	augustus.g48360.t1, augustus.g6965.t1
OG0003866	g2497	augustus.g61030.t1, augustus.g48449.t1
OG0003867	g53200	augustus.g48451.t1, augustus.g61027.t1
OG0003868	g53201	augustus.g61025.t1, augustus.g48453.t1
OG0003869	g53207	augustus.g61022.t1, augustus.g48455.t1
OG0003870	g12368	augustus.g61679.t1, augustus.g48547.t1
OG0003871	g27281, g29252	augustus.g48578.t1
OG0003872	g9427, g9436	augustus.g48585.t1
OG0003873	g46621	augustus.g48603.t1, augustus.g48595.t1
OG0003874	g51197	augustus.g49808.t1, augustus.g48736.t1
OG0003875	g1391	augustus.g48750.t1, augustus.g48748.t1
OG0003876	g61664	augustus.g7677.t1, augustus.g4881.t1
OG0003877	g36939	augustus.g57701.t1, augustus.g48847.t1
OG0003878	g6895, g31463	augustus.g48956.t1
OG0003879	g19308, g19309	augustus.g49252.t1
OG0003880	g60646, g60645	augustus.g493.t1
OG0003881	g18934, g18935	augustus.g49302.t1
OG0003882	g19712	augustus.g49341.t1, augustus.g49400.t1
OG0003883	g19718	augustus.g49347.t1, augustus.g49394.t1
OG0003884	g19723	augustus.g49392.t1, augustus.g49349.t1
OG0003885	g37443, g54815	augustus.g49351.t1
OG0003886	g40427	augustus.g49359.t1, augustus.g65432.t1
OG0003887	g14987	augustus.g4940.t1, augustus.g67081.t1
OG0003888	g21796	augustus.g49435.t1, augustus.g51811.t1
OG0003889	g30021	augustus.g49542.t1, augustus.g5465.t1
OG0003890	g30018	augustus.g5463.t1, augustus.g49543.t1
OG0003891	g30016	augustus.g5462.t1, augustus.g49544.t1
OG0003892	g30013	augustus.g5461.t1, augustus.g49545.t1
OG0003893	g30011	augustus.g5460.t1, augustus.g49546.t1
OG0003894	g30006	augustus.g49549.t1, augustus.g5457.t1
OG0003895	g1881	augustus.g63392.t1, augustus.g49645.t1
OG0003896	g1880	augustus.g49646.t1, augustus.g63391.t1
OG0003897	g23970, g58601	augustus.g49868.t1
OG0003898	g41490, g32566	augustus.g49887.t1
OG0003899	g49514, g31626	augustus.g49918.t1
OG0003900	g7095, g12117	augustus.g49968.t1
OG0003901	g43692	augustus.g5004.t1, augustus.g8095.t1
OG0003902	g1183, g16578	augustus.g50069.t1
OG0003903	g43679	augustus.g5009.t1, augustus.g8099.t1
OG0003904	g48716, g28173	augustus.g50300.t1
OG0003905	g62458, g13937	augustus.g5035.t1
OG0003906	g58991, g47903	augustus.g50451.t1
OG0003907	g35590, g33273	augustus.g50482.t1
OG0003908	g60225	augustus.g50677.t1, augustus.g8603.t1
OG0003909	g33719	augustus.g9978.t1, augustus.g50758.t1
OG0003910	g44035	augustus.g9972.t1, augustus.g50764.t1
OG0003911	g1078	augustus.g5078.t1, augustus.g54257.t1
OG0003912	g56447, g26824	augustus.g50786.t1
OG0003913	g48904, g48905	augustus.g50829.t1
OG0003914	g24298, g24304	augustus.g50861.t1
OG0003915	g44409, g58462	augustus.g50925.t1
OG0003916	g44392	augustus.g7045.t1, augustus.g50938.t1
OG0003917	g18387, g54839	augustus.g50939.t1
OG0003918	g58502	augustus.g69944.t1, augustus.g51016.t1
OG0003919	g42331	augustus.g51034.t1, augustus.g69959.t1
OG0003920	g3537	augustus.g8982.t1, augustus.g5109.t1
OG0003921	g3532	augustus.g8986.t1, augustus.g5115.t1
OG0003922	g22551	augustus.g51158.t1, augustus.g65475.t1
OG0003923	g22554	augustus.g65477.t1, augustus.g51160.t1
OG0003924	g22083	augustus.g69963.t1, augustus.g51168.t1
OG0003925	g22041, g22034	augustus.g51194.t1
OG0003926	g5890	augustus.g61172.t1, augustus.g51372.t1
OG0003927	g6095	augustus.g60308.t1, augustus.g51411.t1
OG0003928	g6096	augustus.g60310.t1, augustus.g51413.t1
OG0003929	g6087	augustus.g60314.t1, augustus.g51416.t1
OG0003930	g6090	augustus.g60322.t1, augustus.g51422.t1
OG0003931	g17947	augustus.g66199.t1, augustus.g51704.t1
OG0003932	g20282	augustus.g9302.t1, augustus.g51717.t1
OG0003933	g21812, g21794	augustus.g51812.t1
OG0003934	g53597	augustus.g5194.t1, augustus.g71338.t1
OG0003935	g53598	augustus.g71339.t1, augustus.g5195.t1
OG0003936	g43568, g43570	augustus.g51987.t1
OG0003937	g42066, g35081	augustus.g52038.t1
OG0003938	g35274	augustus.g59088.t1, augustus.g52212.t1
OG0003939	g7430	augustus.g911.t1, augustus.g52318.t1
OG0003940	g2708, g7429	augustus.g52326.t1
OG0003941	g48588, g20739	augustus.g5246.t1
OG0003942	g1774	augustus.g52474.t1, augustus.g71343.t1
OG0003943	g1772	augustus.g71344.t1, augustus.g52475.t1
OG0003944	g44987	augustus.g70634.t1, augustus.g52477.t1
OG0003945	g57565, g27398	augustus.g52608.t1
OG0003946	g48585, g20736	augustus.g5262.t1
OG0003947	g34008	augustus.g52676.t1, augustus.g825.t1
OG0003948	g47268, g51255	augustus.g52691.t1
OG0003949	g18169	augustus.g52714.t1, augustus.g6290.t1
OG0003950	g18128	augustus.g52719.t1, augustus.g6295.t1
OG0003951	g18126	augustus.g6296.t1, augustus.g52720.t1
OG0003952	g3506	augustus.g61265.t1, augustus.g5285.t1
OG0003953	g21091	augustus.g530.t1, augustus.g62663.t1
OG0003954	g29781	augustus.g54918.t1, augustus.g5321.t1
OG0003955	g20974, g23071	augustus.g53222.t1
OG0003956	g23075	augustus.g53235.t1, augustus.g70325.t1
OG0003957	g33454	augustus.g8894.t1, augustus.g53323.t1
OG0003958	g42864	augustus.g53331.t1, augustus.g55964.t1
OG0003959	g42865	augustus.g53332.t1, augustus.g55965.t1
OG0003960	g42869	augustus.g53334.t1, augustus.g55967.t1
OG0003961	g10859	augustus.g53416.t1, augustus.g57559.t1
OG0003962	g167, g161	augustus.g53420.t1
OG0003963	g60719, g60716	augustus.g53452.t1
OG0003964	g22040, g22035	augustus.g5362.t1
OG0003965	g25910	augustus.g64975.t1, augustus.g53695.t1
OG0003966	g36422	augustus.g5372.t1, augustus.g65372.t1
OG0003967	g36423	augustus.g5373.t1, augustus.g65373.t1
OG0003968	g36427	augustus.g5375.t1, augustus.g65375.t1
OG0003969	g36424	augustus.g65376.t1, augustus.g5376.t1
OG0003970	g2069, g41180	augustus.g53774.t1
OG0003971	g40237, g40231	augustus.g53861.t1
OG0003972	g28067	augustus.g68343.t1, augustus.g53981.t1
OG0003973	g55914, g37309	augustus.g54012.t1
OG0003974	g64513	augustus.g67730.t1, augustus.g54020.t1
OG0003975	g677, g678	augustus.g5417.t1
OG0003976	g11265	augustus.g54265.t1, augustus.g58366.t1
OG0003977	g11269	augustus.g58365.t1, augustus.g54266.t1
OG0003978	g14431	augustus.g54301.t1, augustus.g70641.t1
OG0003979	g2280	augustus.g54341.t1, augustus.g62719.t1
OG0003980	g2278	augustus.g54342.t1, augustus.g62718.t1
OG0003981	g53705	augustus.g54428.t1, augustus.g5752.t1
OG0003982	g48808	augustus.g54473.t1, augustus.g54475.t1
OG0003983	g44090	augustus.g54729.t1, augustus.g640.t1
OG0003984	g61771	augustus.g54739.t1, augustus.g628.t1
OG0003985	g24101	augustus.g60953.t1, augustus.g54897.t1
OG0003986	g17077	augustus.g60949.t1, augustus.g54901.t1
OG0003987	g52570	augustus.g54910.t1, augustus.g54909.t1
OG0003988	g29769	augustus.g54919.t1, augustus.g7951.t1
OG0003989	g37045	augustus.g54926.t1, augustus.g62818.t1
OG0003990	g37051	augustus.g62820.t1, augustus.g54928.t1
OG0003991	g37054	augustus.g62824.t1, augustus.g54932.t1
OG0003992	g37055	augustus.g54933.t1, augustus.g62825.t1
OG0003993	g37063	augustus.g62835.t1, augustus.g54938.t1
OG0003994	g1247	augustus.g70366.t1, augustus.g55010.t1
OG0003995	g35423	augustus.g70359.t1, augustus.g55020.t1
OG0003996	g25193	augustus.g55182.t1, augustus.g55043.t1
OG0003997	g25196	augustus.g55045.t1, augustus.g55179.t1
OG0003998	g25202	augustus.g55175.t1, augustus.g55048.t1
OG0003999	g36444	augustus.g55171.t1, augustus.g55051.t1
OG0004000	g60927	augustus.g55065.t1, augustus.g55067.t1
OG0004001	g28353, g28345	augustus.g55069.t1
OG0004002	g45898, g28602	augustus.g55129.t1
OG0004003	g20072	augustus.g55249.t1, augustus.g7374.t1
OG0004004	g15236, g62912	augustus.g55292.t1
OG0004005	g62935, g62942	augustus.g55305.t1
OG0004006	g3899	augustus.g55325.t1, augustus.g6035.t1
OG0004007	g3895	augustus.g55326.t1, augustus.g6034.t1
OG0004008	g53412, g19006	augustus.g55383.t1
OG0004009	g43041	augustus.g5545.t1, augustus.g6549.t1
OG0004010	g7060, g38899	augustus.g55534.t1
OG0004011	g4663, g13862	augustus.g55581.t1
OG0004012	g4646, g52545	augustus.g55582.t1
OG0004013	g4873, g13609	augustus.g55583.t1
OG0004014	g40491	augustus.g55609.t1, augustus.g58943.t1
OG0004015	g40493	augustus.g55622.t1, augustus.g58927.t1
OG0004016	g40497	augustus.g58926.t1, augustus.g55623.t1
OG0004017	g40498	augustus.g58925.t1, augustus.g55624.t1
OG0004018	g40501	augustus.g58924.t1, augustus.g55625.t1
OG0004019	g40508	augustus.g58923.t1, augustus.g55626.t1
OG0004020	g30251	augustus.g55681.t1, augustus.g61482.t1
OG0004021	g30259, g30261	augustus.g55688.t1
OG0004022	g14943	augustus.g55773.t1, augustus.g67545.t1
OG0004023	g42607, g28785	augustus.g55794.t1
OG0004024	g44207	augustus.g55883.t1, augustus.g69738.t1
OG0004025	g15259, g61317	augustus.g55898.t1
OG0004026	g61339	augustus.g5593.t1, augustus.g61968.t1
OG0004027	g22406	augustus.g560.t1, augustus.g58262.t1
OG0004028	g24273	augustus.g56103.t1, augustus.g56104.t1
OG0004029	g15583, g16670	augustus.g56124.t1
OG0004030	g41393	augustus.g56215.t1, augustus.g56217.t1
OG0004031	g15435, g15440	augustus.g56222.t1
OG0004032	g20821	augustus.g56273.t1, augustus.g56270.t1
OG0004033	g18250, g54574	augustus.g56426.t1
OG0004034	g54668, g36483	augustus.g56454.t1
OG0004035	g18205	augustus.g56486.t1, augustus.g8579.t1
OG0004036	g18226	augustus.g8583.t1, augustus.g56491.t1
OG0004037	g3987	augustus.g8593.t1, augustus.g56498.t1
OG0004038	g3971, g3968	augustus.g56505.t1
OG0004039	g23598	augustus.g56572.t1, augustus.g56840.t1
OG0004040	g27713, g13856	augustus.g56595.t1
OG0004041	g15381	augustus.g66744.t1, augustus.g56706.t1
OG0004042	g15376	augustus.g56707.t1, augustus.g66743.t1
OG0004043	g931	augustus.g61305.t1, augustus.g56727.t1
OG0004044	g932	augustus.g61306.t1, augustus.g56728.t1
OG0004045	g933	augustus.g61307.t1, augustus.g56729.t1
OG0004046	g31879, g20309	augustus.g56779.t1
OG0004047	g20302, g20305	augustus.g56782.t1
OG0004048	g13886	augustus.g56845.t1, augustus.g56846.t1
OG0004049	g41996	augustus.g56914.t1, augustus.g65120.t1
OG0004050	g3270	augustus.g56930.t1, augustus.g56940.t1
OG0004051	g17398	augustus.g57097.t1, augustus.g8436.t1
OG0004052	g27412, g27414	augustus.g57108.t1
OG0004053	g20006, g20007	augustus.g57111.t1
OG0004054	g14701, g59331	augustus.g57270.t1
OG0004055	g9308	augustus.g9011.t1, augustus.g57437.t1
OG0004056	g57736	augustus.g57459.t1, augustus.g59242.t1
OG0004057	g20132, g9733	augustus.g57508.t1
OG0004058	g6057, g57498	augustus.g57550.t1
OG0004059	g21577	augustus.g9648.t1, augustus.g57564.t1
OG0004060	g1716	augustus.g57580.t1, augustus.g66222.t1
OG0004061	g1717	augustus.g57581.t1, augustus.g66223.t1
OG0004062	g34986	augustus.g57601.t1, augustus.g66235.t1
OG0004063	g27426	augustus.g57676.t1, augustus.g65034.t1
OG0004064	g22389	augustus.g579.t1, augustus.g58246.t1
OG0004065	g14413	augustus.g57935.t1, augustus.g59194.t1
OG0004066	g1458, g63099	augustus.g5795.t1
OG0004067	g22388	augustus.g580.t1, augustus.g58245.t1
OG0004068	g44561, g27065	augustus.g58041.t1
OG0004069	g27051	augustus.g58060.t1, augustus.g58061.t1
OG0004070	g1465, g1466	augustus.g58159.t1
OG0004071	g31349, g31306	augustus.g58244.t1
OG0004072	g33595, g50193	augustus.g5844.t1
OG0004073	g33599, g21355	augustus.g58489.t1
OG0004074	g15012, g50938	augustus.g58497.t1
OG0004075	g15027, g15031	augustus.g58508.t1
OG0004076	g51622, g32587	augustus.g58555.t1
